,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,trips
3417198,Montrose Ave & Bushwick Ave,DeKalb Ave & Franklin Ave,40.707654238,-73.940007448,40.69064807082943,-73.95746178925037,1
4640961,W 49 St & 8 Ave,Amsterdam Ave & W 73 St,40.762389064,-73.988131404,40.77966809007312,-73.98093044757842,1
1038625,Boerum Pl\t& Pacific St,Bridge St & York St,40.68848905639242,-73.99116039276123,40.70133448066992,-73.98471236228943,8
731186,8 Ave & W 52 St,W 54 St & 11 Ave,40.765322328,-73.985141397,40.768333,-73.992573,1
1928825,E 17 St & 2 Ave,Bergen St & Smith St,40.734339237,-73.983786345,40.6867443,-73.99063168,1
2631736,Frederick Douglass Blvd & W 115 St,Amsterdam Ave & W 119 St,40.8038654,-73.9559308,40.8086249,-73.9596214,1
496551,5 Ave & E 103 St,W 37 St & 5 Ave,40.792175651,-73.952471495,40.75038009,-73.98338988,1
1671556,DeKalb Ave & Vanderbilt Ave,Willoughby Ave & Tompkins Ave,40.689452887,-73.968800068,40.69425403,-73.94626915,1
3241534,Lispenard St & Broadway,William St & Pine St,40.719303489,-74.00233829,40.70717936,-74.00887308,1
4733314,W 56 St & 8 Ave,Kent St & McGuinness Blvd,40.765253544,-73.983127594,40.73124,-73.95161,1
4301676,W 17 St & 8 Ave,11 Ave & W 27 St,40.741935015,-74.001363516,40.751396,-74.005226,1
3971287,Stagg St & Union Ave,Graham Ave & Grand St,40.708728552,-73.950977325,40.711863,-73.944024,1
2557599,Evergreen Ave & Noll St,Knickerbocker Ave & Thames St,40.701094031,-73.933232546,40.70539,-73.92976,1
2352210,E 7 St & Ave B,W 13 St & 7 Ave,40.725375295,-73.981677175,40.73781509,-73.99994661,1
3132331,Lenox Ave & W 111 St,7 Ave & Central Park South,40.798869252,-73.952413797,40.7667405590595,-73.9790689945221,1
2081256,E 33 St & 1 Ave,Hudson St & Reade St,40.74322681432173,-73.97449783980846,40.71625008,-74.0091059,7
428365,40 Ave & Crescent St,Union St & 4 Ave,40.753634095,-73.937980294,40.6772744,-73.98282002,1
3000121,Jackson St & Leonard St,Dock 72 Way & Market St,40.716343164,-73.948509097,40.69985,-73.97141,1
4233413,W 13 St & 5 Ave,6 Ave & W 45 St,40.735536695,-73.994961739,40.756951,-73.982631,1
368007,34 Ave & 45 St,Central Park West & W 85 St,40.754808187,-73.917071342,40.78476,-73.969862,1
921574,Ave A & E 11 St,W 63 St & Broadway,40.72854745023944,-73.98175925016403,40.77163851,-73.98261428,5
5073927,Willoughby St & Fleet St,Willoughby Ave & Hall St,40.691991091,-73.981341124,40.69196035,-73.96536851,1
3803982,S 3 St & Bedford Ave,S 4 St & Rodney St,40.712570429,-73.962866664,40.70934,-73.95608,1
1792474,E 11 St & 1 Ave,W 37 St & 5 Ave,40.729656458,-73.984327078,40.75038009,-73.98338988,1
347031,31 St & Broadway,28 St & 36 Ave,40.761571288,-73.925888658,40.757186,-73.932719,1
1271019,Broadway & Whipple St,Pulaski St & Marcus Garvey Blvd,40.701711416,-73.943811774,40.6933982,-73.939877,1
554626,53 St & 5 Ave,Douglass St & 4 Ave,40.643371,-74.011884,40.6792788,-73.98154004,3
